rule,affine,method,N,T,burn,window,samples,mle_mean,mle_sd,mle_p16,mle_p84,finite_exponents_mean,pct_minus_inf_mean,pct_minus_inf_min,pct_minus_inf_max,lambda_min_finite_mean
1,False,Benettin (40 samples),1000,500,200,300,40,0.549306,0.000000,0.549306,0.549306,208.5,79.15,75.40,82.60,-0.000000
2,False,Benettin (40 samples),1000,500,200,300,40,0.017707,0.001430,0.017868,0.019013,752.8,24.72,22.00,27.80,-inf
3,False,Benettin (40 samples),1000,500,200,300,40,0.346574,0.000000,0.346574,0.346574,405.1,59.48,55.30,62.90,-inf
4,False,Benettin (40 samples),1000,500,200,300,40,0.000000,0.000000,0.000000,0.000000,781.9,21.82,18.90,26.40,0.000000
5,False,Benettin (40 samples),1000,500,200,300,40,0.346574,0.000000,0.346574,0.346574,401.6,59.84,55.30,63.20,-0.000000
6,False,Benettin (40 samples),1000,500,200,300,40,0.543882,0.018918,0.525372,0.562888,767.0,23.30,21.40,25.10,-2.193713
7,False,Benettin (40 samples),1000,500,200,300,40,0.346574,0.000000,0.346574,0.346574,235.0,76.50,73.40,79.80,-13.694895
8,False,Benettin (40 samples),1000,500,200,300,40,-inf,nan,nan,nan,0.0,100.00,100.00,100.00,nan
9,False,Benettin (40 samples),1000,500,200,300,40,0.096568,0.031164,0.069838,0.119096,462.9,53.72,51.00,57.60,-3.789859
10,False,Benettin (40 samples),1000,500,200,300,40,0.017365,0.001743,0.014923,0.019013,750.9,24.91,23.40,26.70,-73.352310
11,False,Benettin (40 samples),1000,500,200,300,40,0.071888,0.028304,0.045029,0.099844,626.2,37.38,35.00,40.40,-9.501963
12,False,Benettin (40 samples),1000,500,200,300,40,0.003054,0.000000,0.003054,0.003054,752.1,24.79,22.80,26.50,-0.003054
13,False,Benettin (40 samples),1000,500,200,300,40,0.481212,0.000000,0.481212,0.481212,251.0,74.90,72.00,78.80,-0.481212
14,False,Benettin (40 samples),1000,500,200,300,40,0.286822,0.140252,0.164894,0.443832,345.5,65.45,46.60,79.70,-4.344109
18,False,Benettin (40 samples),1000,500,200,300,40,0.692366,0.000038,0.692324,0.692398,505.7,49.43,49.10,49.70,-2.956253
19,False,Benettin (40 samples),1000,500,200,300,40,0.346574,0.000000,0.346574,0.346574,325.6,67.45,63.60,70.80,0.000000
22,False,Benettin (40 samples),1000,500,200,300,40,0.865315,0.007356,0.858318,0.873939,542.6,45.73,44.30,48.40,-0.570578
23,False,Benettin (40 samples),1000,500,200,300,40,0.693147,0.000000,0.693147,0.693147,301.4,69.86,65.20,74.80,0.000000
24,False,Benettin (40 samples),1000,500,200,300,40,0.010797,0.001515,0.009430,0.012031,625.2,37.48,35.80,39.60,-3.737777
25,False,Benettin (40 samples),1000,500,200,300,40,0.514566,0.018480,0.491311,0.530611,788.6,21.14,19.60,22.00,-0.919043
26,False,Benettin (40 samples),1000,500,200,300,40,0.413100,0.007773,0.405154,0.420583,836.8,16.32,15.10,18.70,-0.711696
27,False,Benettin (40 samples),1000,500,200,300,40,0.028080,0.009554,0.019361,0.036041,813.8,18.62,17.40,20.20,-5.056176
28,False,Benettin (40 samples),1000,500,200,300,40,0.481212,0.000000,0.481212,0.481212,1000.0,0.00,0.00,0.00,-0.481212
29,False,Benettin (40 samples),1000,500,200,300,40,0.346574,0.000000,0.346574,0.346574,842.2,15.78,14.00,18.50,-0.003074
30,False,Benettin (40 samples),1000,500,200,300,40,0.658479,0.002109,0.655948,0.660266,1000.0,0.00,0.00,0.00,-1.545344
32,False,Benettin (40 samples),1000,500,200,300,40,-inf,nan,nan,nan,0.0,100.00,100.00,100.00,nan
33,False,Benettin (40 samples),1000,500,200,300,40,0.673872,0.010289,0.671052,0.681915,769.7,23.03,20.20,25.20,-2.007303
34,False,Benettin (40 samples),1000,500,200,300,40,0.018737,0.000780,0.019013,0.019013,751.6,24.84,23.60,26.40,-77.659917
35,False,Benettin (40 samples),1000,500,200,300,40,0.078565,0.035866,0.051465,0.094623,749.8,25.02,22.80,26.80,-13.715561
36,False,Benettin (40 samples),1000,500,200,300,40,0.003074,0.000000,0.003074,0.003074,886.9,11.31,8.80,13.80,-0.003074
37,False,Benettin (40 samples),1000,500,200,300,40,0.379121,0.010966,0.367650,0.389681,735.3,26.47,24.80,28.10,-0.645027
38,False,Benettin (40 samples),1000,500,200,300,40,0.540146,0.013390,0.526911,0.553975,883.3,11.67,10.80,12.30,-1.951135
40,False,Benettin (40 samples),1000,500,200,300,40,-inf,nan,nan,nan,0.0,100.00,100.00,100.00,nan
41,False,Benettin (40 samples),1000,500,200,300,40,0.862367,0.001208,0.861007,0.863479,834.2,16.58,15.40,17.30,-1.547352
42,False,Benettin (40 samples),1000,500,200,300,40,0.005541,0.000618,0.005144,0.005686,875.0,12.50,10.20,14.10,-0.005387
43,False,Benettin (40 samples),1000,500,200,300,40,0.483992,0.185219,0.307739,0.689215,406.2,59.38,44.00,79.90,-10.129572
44,False,Benettin (40 samples),1000,500,200,300,40,0.481212,0.000000,0.481212,0.481212,863.4,13.66,12.70,14.80,-0.481212
45,False,Benettin (40 samples),1000,500,200,300,40,0.717674,0.001375,0.716679,0.718733,1000.0,0.00,0.00,0.00,-0.633572
46,False,Benettin (40 samples),1000,500,200,300,40,0.035109,0.009526,0.025035,0.041860,627.1,37.29,35.80,39.60,-5.148317
50,False,Benettin (40 samples),1000,500,200,300,40,0.481212,0.000000,0.481212,0.481212,337.5,66.25,62.40,72.40,-0.481212
54,False,Benettin (40 samples),1000,500,200,300,40,0.740724,0.002731,0.738693,0.742899,819.0,18.11,15.80,20.20,-0.745160
56,False,Benettin (40 samples),1000,500,200,300,40,0.020273,0.005946,0.014858,0.026577,623.6,37.64,35.30,40.40,-0.915604
57,False,Benettin (40 samples),1000,500,200,300,40,0.696471,0.003233,0.693677,0.699899,510.6,48.94,46.40,50.10,-7.294536
58,False,Benettin (40 samples),1000,500,200,300,40,0.095331,0.064665,0.043202,0.139304,375.9,62.41,60.60,63.60,-3.498817
62,False,Benettin (40 samples),1000,500,200,300,40,0.421305,0.034555,0.387139,0.460672,683.0,31.70,30.30,32.90,-12.954353
72,False,Benettin (40 samples),1000,500,200,300,40,0.693147,0.000000,0.693147,0.693147,173.8,82.62,78.60,88.40,-0.000000
73,False,Benettin (40 samples),1000,500,200,300,40,0.915411,0.024769,0.905702,0.962424,580.9,41.91,39.00,44.00,-1.246308
74,False,Benettin (40 samples),1000,500,200,300,40,0.024319,0.012022,0.016628,0.030085,678.3,32.17,29.90,35.20,-0.680639
76,False,Benettin (40 samples),1000,500,200,300,40,0.003054,0.000000,0.003054,0.003054,842.9,15.71,13.40,18.20,-0.003054
77,False,Benettin (40 samples),1000,500,200,300,40,0.693147,0.000000,0.693147,0.693147,304.6,69.53,67.10,72.90,0.000000
78,False,Benettin (40 samples),1000,500,200,300,40,0.481212,0.000000,0.481212,0.481212,561.7,43.83,43.00,44.80,-0.481212
94,False,Benettin (40 samples),1000,500,200,300,40,0.606149,0.000000,0.606149,0.606149,745.5,25.45,23.50,27.60,-0.606149
104,False,Benettin (40 samples),1000,500,200,300,40,0.695064,0.001504,0.693147,0.696219,99.1,90.09,87.50,92.60,-0.000326
106,False,Benettin (40 samples),1000,500,200,300,40,0.710413,0.019283,0.691236,0.726352,1000.0,0.00,0.00,0.00,-1.263827
108,False,Benettin (40 samples),1000,500,200,300,40,0.812433,0.038901,0.804719,0.839956,894.5,10.55,8.60,13.50,-0.788203
110,False,Benettin (40 samples),1000,500,200,300,40,0.654456,0.003259,0.650920,0.657396,844.2,15.57,15.30,15.90,-0.840886
122,False,Benettin (40 samples),1000,500,200,300,40,0.649664,0.008893,0.637796,0.657551,836.2,16.38,14.30,18.30,-0.898806
