rule,label,affine,mle_mean,mle_sd,n_inf,samples,v_front_mean,v_front_sd,D_norm_mean,D_norm_sd,fill_mean,fill_sd,h_final_mean,r_final_mean,cone_grows
0,B/S,False,-inf,,16,16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00,False
1,B0/S,False,0.804688,0.000009,0,16,0.003641,0.008543,0.000088,0.000200,0.109955,0.260336,1.00,0.31,False
2,B1/S,False,0.956791,0.001703,0,16,0.565693,0.452784,0.147925,0.118583,0.180348,0.144495,1480.88,39.44,True
3,B01/S,False,0.867079,0.046674,0,16,0.005549,0.022197,0.000098,0.000393,0.010858,0.043431,0.81,0.31,False
4,B2/S,False,1.007751,0.000775,0,16,0.052273,0.041213,0.000303,0.000223,0.069372,0.068728,2.44,3.25,False
5,B02/S,False,1.104319,0.001845,0,16,0.767317,0.381252,0.247344,0.123205,0.277318,0.138240,2496.44,53.56,True
6,B12/S,False,0.699737,0.023506,0,16,0.212585,0.149180,0.008519,0.006411,0.107780,0.075057,66.25,13.12,True
7,B012/S,False,0.547666,0.000575,0,16,0.022317,0.019545,0.000456,0.000387,0.338143,0.267643,3.50,1.38,False
8,B3/S,False,-inf,,16,16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00,False
9,B03/S,False,0.706923,0.030338,0,16,0.409602,0.212037,0.025687,0.016681,0.097766,0.057984,234.25,27.38,True
10,B13/S,False,1.192460,0.001995,0,16,0.912697,0.243781,0.318306,0.085090,0.335825,0.089970,3184.50,63.62,True
11,B013/S,False,1.029158,0.066660,0,16,0.058897,0.044983,0.000971,0.000745,0.156197,0.136680,8.06,3.69,False
12,B23/S,False,1.020634,0.015617,0,16,0.433965,0.276343,0.015289,0.011384,0.044196,0.028876,134.62,28.81,True
13,B023/S,False,0.808596,0.016788,0,16,0.432130,0.221625,0.051449,0.031141,0.174688,0.092740,476.75,29.44,True
14,B123/S,False,0.700670,0.013872,0,16,0.014081,0.016818,0.000273,0.000194,0.662770,0.339517,2.06,0.75,False
15,B0123/S,False,0.346562,0.000001,0,16,0.009130,0.008316,0.000220,0.000092,0.687500,0.291833,1.69,0.56,False
16,B4/S,False,-inf,,16,16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00,False
17,B04/S,False,0.804338,0.000061,0,16,0.013369,0.012353,0.000185,0.000180,0.174038,0.191133,2.06,1.00,False
18,B14/S,False,0.989328,0.001538,0,16,0.919006,0.028795,0.259188,0.009358,0.306879,0.013537,2594.81,64.19,True
19,B014/S,False,0.860703,0.051067,0,16,0.017306,0.029007,0.000295,0.000711,0.068953,0.099553,2.50,1.12,False
20,B24/S,False,1.159814,0.034152,0,16,0.048095,0.045421,0.000309,0.000318,0.070775,0.073785,2.31,2.88,False
21,B024/S,False,1.131886,0.001406,0,16,0.959561,0.026909,0.314490,0.015722,0.341477,0.014733,3177.25,67.19,True
22,B124/S,False,0.803636,0.015152,0,16,0.445679,0.229866,0.042441,0.021775,0.143558,0.079320,373.81,29.81,True
23,B0124/S,False,0.703254,0.154824,0,16,0.021303,0.020289,0.000350,0.000342,0.199545,0.189861,2.69,1.31,False
24,B34/S,False,-inf,,16,16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00,False
25,B034/S,False,0.717712,0.035309,0,16,0.494291,0.153075,0.039295,0.017807,0.135822,0.044003,347.94,33.50,True
26,B134/S,False,1.108458,0.001218,0,16,0.953325,0.021621,0.310772,0.011771,0.341897,0.013001,3087.88,66.62,True
27,B0134/S,False,1.040525,0.037785,0,16,0.079065,0.036655,0.001371,0.000976,0.142226,0.092656,11.25,4.81,False
28,B234/S,False,1.007384,0.028842,0,16,0.032462,0.033948,0.000424,0.000503,0.140331,0.152964,3.25,2.00,False
29,B0234/S,False,0.880869,0.000333,0,16,0.037534,0.029466,0.000619,0.000518,0.209213,0.183627,4.75,2.31,False
30,B1234/S,False,0.481212,0.000000,0,16,0.007101,0.008316,0.000187,0.000095,0.687500,0.342296,1.44,0.44,False
31,B01234/S,False,0.000000,0.000000,0,16,0.000000,0.000000,0.000130,0.000000,1.000000,0.000000,1.00,0.00,False
32,B/S0,False,0.000000,0.000000,0,16,0.002029,0.005544,0.000041,0.000062,0.212500,0.396443,0.31,0.12,False
33,B0/S0,False,0.693135,0.000003,0,16,0.009311,0.012415,0.000109,0.000150,0.086199,0.116524,1.25,0.75,False
34,B1/S0,False,1.066603,0.001556,0,16,0.706194,0.421523,0.208550,0.124647,0.235140,0.140528,2073.12,49.38,True
35,B01/S0,False,0.847204,0.049523,0,16,0.021901,0.028825,0.000269,0.000444,0.081616,0.120027,2.12,1.44,False
36,B2/S0,False,0.714027,0.135796,0,16,0.068981,0.040415,0.000212,0.000142,0.041122,0.048322,1.62,4.25,False
37,B02/S0,False,1.047072,0.003191,0,16,0.926763,0.023431,0.288809,0.017942,0.335832,0.015616,2895.38,64.81,True
38,B12/S0,False,0.841487,0.040712,0,16,0.206862,0.075429,0.006774,0.003505,0.154381,0.073611,51.38,12.81,True
39,B012/S0,False,0.547612,0.000835,0,16,0.014202,0.017656,0.000244,0.000301,0.251154,0.297808,1.88,0.88,False
40,B3/S0,False,0.345554,0.336067,0,16,0.020289,0.018267,0.000147,0.000094,0.275769,0.372378,1.12,1.25,False
41,B03/S0,False,0.941186,0.118393,0,16,0.489768,0.197801,0.034829,0.016566,0.110707,0.054465,300.19,32.69,True
42,B13/S0,False,1.223821,0.000766,0,16,0.858604,0.335433,0.317175,0.124220,0.329333,0.128821,3166.50,60.06,True
43,B013/S0,False,0.965287,0.020500,0,16,0.077634,0.037670,0.000945,0.000626,0.114844,0.089043,8.12,4.81,False
44,B23/S0,False,0.604526,0.061008,0,16,0.138977,0.106840,0.000725,0.000731,0.019899,0.018068,5.56,8.56,True
45,B023/S0,False,0.793346,0.005931,0,16,0.681015,0.184925,0.155686,0.042746,0.294091,0.080950,1538.75,47.44,True
46,B123/S0,False,0.851919,0.111108,0,16,0.022257,0.016889,0.000329,0.000233,0.417093,0.308656,2.44,1.31,False
47,B0123/S0,False,0.693147,0.000000,0,16,0.007101,0.008316,0.000196,0.000106,0.700000,0.334664,1.50,0.44,False
48,B4/S0,False,0.017797,0.004187,0,16,0.010144,0.013086,0.000090,0.000123,0.083654,0.099540,0.69,0.62,False
49,B04/S0,False,0.692942,0.000219,0,16,0.068504,0.093836,0.000988,0.001162,0.143796,0.199622,7.81,4.25,False
50,B14/S0,False,1.091330,0.001294,0,16,0.584849,0.468173,0.179497,0.144095,0.204689,0.163932,1790.88,41.00,True
51,B014/S0,False,0.816429,0.034081,0,16,0.039752,0.038342,0.000523,0.000577,0.119618,0.138922,4.19,2.62,False
52,B24/S0,False,0.685608,0.078166,0,16,0.066952,0.043096,0.000261,0.000233,0.040071,0.039879,2.00,4.12,False
53,B024/S0,False,1.109306,0.001032,0,16,0.962303,0.016121,0.346971,0.012519,0.374592,0.014163,3487.00,67.38,True
54,B124/S0,False,0.875846,0.040510,0,16,0.370988,0.084653,0.020194,0.005941,0.149915,0.043776,165.75,24.00,True
55,B0124/S0,False,0.547581,0.000527,0,16,0.018260,0.020423,0.000269,0.000331,0.190192,0.264964,2.06,1.12,False
56,B34/S0,False,0.299281,0.177436,0,16,0.014202,0.014365,0.000139,0.000139,0.199423,0.250183,1.06,0.88,False
57,B034/S0,False,0.615688,0.002285,0,16,0.666190,0.262778,0.133832,0.052899,0.231282,0.093874,1343.44,46.38,True
