rule,label,affine,mle_mean,mle_sd,n_inf,samples,v_front_mean,v_front_sd,D_norm_mean,D_norm_sd,fill_mean,fill_sd,h_final_mean,r_final_mean,cone_grows
33,B05/S,False,1.089874,0.008853,0,10,0.204206,0.046560,0.004672,0.001829,0.107627,0.034643,70.30,12.40,True
44,B235/S,False,1.367789,0.001205,0,10,0.910404,0.022194,0.287727,0.009606,0.346741,0.009127,5768.20,64.00,True
86,B1246/S,False,1.489886,0.001775,0,10,0.956693,0.026368,0.322016,0.011855,0.351866,0.014167,6446.60,66.90,True
304,B458/S,False,-inf,,10,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00,False
349,B023468/S,False,1.176780,0.004276,0,10,0.773645,0.035370,0.186426,0.004075,0.311543,0.024896,3749.30,54.30,True
381,B0234568/S,False,0.979772,0.118611,0,10,0.013081,0.021165,0.000147,0.000158,0.644797,0.461710,2.30,0.90,False
479,B01234678/S,False,0.784722,0.062724,0,10,0.066547,0.046823,0.000985,0.001080,0.147003,0.066783,15.10,4.10,False
566,B1245/S0,False,1.327305,0.003436,0,10,0.887050,0.027320,0.268821,0.007573,0.341608,0.017593,5374.10,62.10,True
571,B01345/S0,False,0.927758,0.005132,0,10,0.512604,0.182233,0.064460,0.024969,0.197898,0.079154,1285.50,35.30,True
629,B02456/S0,False,1.190738,0.109195,0,10,0.308101,0.066545,0.011153,0.004727,0.109321,0.018072,173.90,18.90,True
681,B0357/S0,False,1.557449,0.001832,0,10,0.987739,0.010266,0.321846,0.005691,0.329853,0.005558,6404.90,69.20,True
711,B01267/S0,False,0.705803,0.022519,0,10,0.008115,0.020602,0.000052,0.000126,0.029630,0.071562,0.80,0.50,False
723,B01467/S0,False,1.233629,0.010527,0,10,0.725610,0.257620,0.152341,0.055094,0.233638,0.083323,3101.20,50.60,True
869,B02568/S0,False,1.496021,0.001588,0,10,0.862942,0.303714,0.283466,0.099852,0.308219,0.108520,5679.70,60.60,True
