rule,affine,method,N,T,burn,window,samples,mle_mean,mle_sd,mle_p16,mle_p84,finite_exponents_mean,pct_minus_inf_mean,pct_minus_inf_min,pct_minus_inf_max,lambda_min_finite_mean
6,False,Benettin (40 samples),1000,500,200,300,40,0.543986,0.018865,0.525372,0.562888,767.0,23.30,21.40,25.10,-2.194104
26,False,Benettin (40 samples),1000,500,200,300,40,0.413080,0.007760,0.405154,0.420583,836.8,16.32,15.10,18.70,-0.710723
73,False,Benettin (40 samples),1000,500,200,300,40,0.915411,0.024769,0.905702,0.962424,580.9,41.91,39.00,44.00,-1.245808
154,False,Benettin (40 samples),1000,500,200,300,40,0.479556,0.015055,0.467465,0.496587,1000.0,0.00,0.00,0.00,-0.730707
41,False,Benettin (40 samples),1000,500,200,300,40,0.862367,0.001208,0.861007,0.863479,834.2,16.58,15.40,17.30,-1.548706
122,False,Benettin (40 samples),1000,500,200,300,40,0.649664,0.008893,0.637796,0.657551,836.2,16.38,14.30,18.30,-0.898967
126,False,Benettin (40 samples),1000,500,200,300,40,0.710861,0.018425,0.694799,0.728989,771.6,22.84,21.90,23.90,-0.922777
54,False,Benettin (40 samples),1000,500,200,300,40,0.740724,0.002731,0.738693,0.742899,819.0,18.11,15.80,20.20,-0.743963
110,False,Benettin (40 samples),1000,500,200,300,40,0.654456,0.003259,0.650920,0.657396,844.2,15.57,15.30,15.90,-0.841504
60,True,closed form,1000,,,,1,0.693147,,,,999.0,0.10,0.10,0.10,-5.069880
90,True,closed form,1000,,,,1,0.693147,,,,998.0,0.20,0.20,0.20,-4.376738
150,True,closed form,1000,,,,1,1.098612,,,,1000.0,0.00,0.00,0.00,-5.618581
