rule,table,dL,dC,dR,dL_pattern,dC_pattern,dR_pattern
0,00000000,0,0,0,0000,0000,0000
1,00000001,cr,lr,lc,0001,0001,0001
2,00000010,Rc,Rl,lc,0010,0010,0001
3,00000011,c,l,0,0011,0011,0000
4,00000100,Cr,lr,Cl,0100,0001,0010
5,00000101,r,0,l,0101,0000,0011
6,00000110,Cr+Rc,l,l,0110,0011,0011
7,00000111,c+r,Rl,Cl,0111,0010,0010
8,00001000,CR,Rl,Cl,1000,0010,0010
9,00001001,CR+cr,l,l,1001,0011,0011
10,00001010,R,0,l,1010,0000,0011
11,00001011,R+c,lr,Cl,1011,0001,0010
12,00001100,C,l,0,1100,0011,0000
13,00001101,C+r,Rl,lc,1101,0010,0001
14,00001110,C+R,lr,lc,1110,0001,0001
15,00001111,1,0,0,1111,0000,0000
18,00010010,c,Lr+Rl,c,0011,0110,0101
19,00010011,Rc,l+r,Lc,0010,0111,0100
22,00010110,c+r,l+r,l+c,0111,0111,0111
23,00010111,Cr+Rc,Lr+Rl,Lc+Cl,0110,0110,0110
24,00011000,CR+cr,Lr+Rl,Lc+Cl,1001,0110,0110
25,00011001,CR,l+r,l+c,1000,0111,0111
26,00011010,R+c,Lr,l+c,1011,0100,0111
27,00011011,R,r,Lc+Cl,1010,0101,0110
28,00011100,C+r,l+r,Lc,1101,0111,0100
29,00011101,C,Lr+Rl,c,1100,0110,0101
30,00011110,1,r,c,1111,0101,0101
32,00100000,Rc,LR,Lc,0010,1000,0100
33,00100001,c,LR+lr,c,0011,1001,0101
34,00100010,0,R,c,0000,1010,0101
35,00100011,cr,R+l,Lc,0001,1011,0100
36,00100100,Cr+Rc,LR+lr,Lc+Cl,0110,1001,0110
37,00100101,c+r,LR,l+c,0111,1000,0111
38,00100110,Cr,R+l,l+c,0100,1011,0111
40,00101000,R,R,Lc+Cl,1010,1010,0110
41,00101001,R+c,R+l,l+c,1011,1011,0111
42,00101010,CR,LR,l+c,1000,1000,0111
43,00101011,CR+cr,LR+lr,Lc+Cl,1001,1001,0110
44,00101100,C+R,R+l,Lc,1110,1011,0100
45,00101101,1,R,c,1111,1010,0101
46,00101110,C,LR+lr,c,1100,1001,0101
50,00110010,cr,L+R,lc,0001,1110,0001
51,00110011,0,1,0,0000,1111,0000
54,00110110,r,1,l,0101,1111,0011
56,00111000,R+c,L+R,Cl,1011,1110,0010
57,00111001,R,1,l,1010,1111,0011
58,00111010,CR+cr,L,l,1001,1100,0011
60,00111100,1,1,0,1111,1111,0000
62,00111110,C+r,L+r,lc,1101,1101,0001
72,01001000,C,Lr+Rl,C,1100,0110,1010
73,01001001,C+r,l+r,C+l,1101,0111,1011
74,01001010,C+R,Lr,C+l,1110,0100,1011
76,01001100,CR,l+r,LC,1000,0111,1000
77,01001101,CR+cr,Lr+Rl,LC+lc,1001,0110,1001
78,01001110,R,r,LC+lc,1010,0101,1001
90,01011010,1,0,1,1111,0000,1111
94,01011110,R+c,lr,L+c,1011,0001,1101
104,01101000,C+R,L+R,L+C,1110,1110,1110
105,01101001,1,1,1,1111,1111,1111
106,01101010,C,L,1,1100,1100,1111
108,01101100,R,1,L,1010,1111,1100
110,01101110,CR,L+r,L+c,1000,1101,1101
122,01111010,C+r,LR,C+l,1101,1000,1011
126,01111110,CR+cr,LR+lr,LC+lc,1001,1001,1001
128,10000000,CR,LR,LC,1000,1000,1000
130,10000010,R,R,LC+lc,1010,1010,1001
132,10000100,C,LR+lr,C,1100,1001,1010
134,10000110,C+R,R+l,C+l,1110,1011,1011
136,10001000,0,R,C,0000,1010,1010
138,10001010,Rc,LR,C+l,0010,1000,1011
140,10001100,Cr,R+l,LC,0100,1011,1000
142,10001110,Cr+Rc,LR+lr,LC+lc,0110,1001,1001
146,10010010,R+c,L+R,L+c,1011,1110,1101
150,10010110,1,1,1,1111,1111,1111
152,10011000,cr,L+R,L+C,0001,1110,1110
154,10011010,c,L,1,0011,1100,1111
156,10011100,r,1,L,0101,1111,1100
160,10100000,R,0,L,1010,0000,1100
162,10100010,CR,Rl,L+c,1000,0010,1101
164,10100100,C+R,lr,L+C,1110,0001,1110
168,10101000,Rc,Rl,L+C,0010,0010,1110
170,10101010,0,0,1,0000,0000,1111
172,10101100,Cr+Rc,l,L,0110,0011,1100
178,10110010,CR+cr,Lr+Rl,LC+lc,1001,0110,1001
184,10111000,c,Lr+Rl,C,0011,0110,1010
200,11001000,Cr,L+R,Cl,0100,1110,0010
204,11001100,0,1,0,0000,1111,0000
232,11101000,Cr+Rc,Lr+Rl,Lc+Cl,0110,0110,0110
